url,year,Month,Day,publication_date,fractional_year,model_name,extra_data,top_1_error,top_5_error,final_compute_estimate,nr_training_images,parameter_count,reimplementation,input_size_test
https://arxiv.org/abs/1406.4729,2014,6,18,6/18/2014,114.47,SPPNet,0,27.86,NA,6.11E+18,1.28E+06,1.39E+08,0,224
https://arxiv.org/abs/1409.1556,2014,9,4,09/04/2014,114.68,"VGG-A,A-LRN",0,29.7,9.4,2.27E+19,1.28E+06,1.33E+08,0,256
https://arxiv.org/abs/1409.1556,2014,9,4,09/04/2014,114.68,VGG-19,0,25.5,8,1.02E+19,1.28E+06,1.44E+08,0,384
https://arxiv.org/abs/1409.1557,2014,9,4,09/04/2014,114.68,VGG-B,0,28.7,9.4,2.28E+19,1.28E+06,1.34E+08,0,256
https://arxiv.org/abs/1409.1558,2014,9,4,09/04/2014,114.68,VGG-C,0,28.1,9.4,2.27E+19,1.28E+06,1.33E+08,0,256
https://arxiv.org/abs/1502.01852,2015,2,6,02/06/2015,115.1,"MSRA (C, PReLU)",0,21.59,5.71,1.98E+19,1.28E+06,3.31E+08,0,224
https://arxiv.org/abs/1512.03385,2015,12,10,12/10/2015,115.94,ResNet-50,0,22.85,4.49,4.04E+18,1.28E+06,2.56E+07,0,224
https://arxiv.org/abs/1512.03385,2015,12,10,12/10/2015,115.94,ResNet-152,0,19.38,4.49,1.11E+19,1.28E+06,6.00E+07,0,224
https://arxiv.org/abs/1512.03385,2015,12,10,12/10/2015,115.94,ResNet-101,0,21.75,4.49,8.07E+18,1.28E+06,4.26E+07,0,224
https://arxiv.org/abs/1610.02357,2016,10,7,10/07/2016,116.77,Xception,0,21,5.5,1.20E+18,1.28E+06,2.29E+07,0,224
https://arxiv.org/abs/1611.05431,2016,11,16,11/16/2016,116.88,ResNeXt-101 64x4,0,19.1,4.4,1.50E+19,1.28E+06,8.36E+07,0,224
https://arxiv.org/abs/1611.05725,2016,11,17,11/17/2016,116.88,Very Deep PolyNet,0,18.71,4.25,1.33E+19,1.28E+06,9.20E+07,0,320
https://arxiv.org/abs/1707.07012,2018,4,21,4/21/2018,118.31,NASNet-A,1,17.3,3.8,4.90E+20,1.25E+06,8.89E+07,0,
https://arxiv.org/abs/1709.01507,2017,9,5,09/05/2017,117.68,SE-ResNet-50,0,23.29,,1.49E+18,1.28E+06,2.80E+07,0,299
https://arxiv.org/abs/1709.01507,2017,9,5,09/05/2017,117.68,SE-ResNet-152,0,21.57,,4.35E+18,1.28E+06,6.70E+07,0,299
https://arxiv.org/abs/1709.01507,2017,9,5,09/05/2017,117.68,Inception ResNet (SENet),0,19.8,4.79,4.52E+18,1.28E+06,,0,299
https://arxiv.org/abs/1802.01548,2018,2,5,02/05/2018,118.1,AmoebaNet-A,0,16.1,3.4,3.85E+20,1.28E+06,4.69E+08,0,224
https://arxiv.org/abs/1903.11059,2019,3,26,3/26/2019,119.24,AlphaX-1,0,24.5,7.8,2.42E+18,1.28E+06,5.40E+06,0,224
https://arxiv.org/abs/1904.05049,2019,4,10,04/10/2019,119.28,Oct-ResNet-152 (alpha=0.5),0,17.7,4,5.86E+18,1.28E+06,6.02E+07,0,320
https://arxiv.org/abs/1908.01314,2019,8,4,08/04/2019,119.59,MoGA-A,0,24.1,7.2,5.10E+18,1.28E+06,5.10E+06,0,224
https://arxiv.org/abs/1911.04252,2019,11,11,11/11/2019,119.86,NoisyStudent (EfficientNet-L2),1,11.6,1.3,1.84E+22,3.01E+08,4.80E+08,0,299
https://arxiv.org/abs/1911.04252,2019,11,11,11/11/2019,119.86,NoisyStudent (EfficientNet-L2),1,11.6,1.3,,8.22E+07,4.80E+08,0,299
https://arxiv.org/abs/1912.11370,2019,12,24,12/24/2019,119.98,BiT-S (ILSVRC-2012),0,18.7,,,1.28E+06,9.28E+08,0,
https://arxiv.org/abs/1912.11370,2019,12,24,12/24/2019,119.98,BiT-M (ImageNet-21k),1,14.61,,,1.52E+07,,0,
https://arxiv.org/abs/1912.11370,2019,12,24,12/24/2019,119.98,BiT-L,1,12.46,,7.91E+20,3.00E+08,9.28E+08,0,
https://arxiv.org/abs/2001.06570,2020,1,18,1/18/2020,120.05,"Harm-SE-RNX-101 64x4d (320x320, Mean-Max Pooling)",0,17.15,3.56,1.21E+19,1.28E+06,8.82E+07,0,320
https://arxiv.org/abs/2001.06570,2020,1,18,1/18/2020,120.05,"Harm-SE-RNX-101 64x4d (320x320, Mean-Max Pooling)",0,18.37,4.34,6.90E+18,1.28E+06,8.82E+07,0,224
https://arxiv.org/abs/2003.11236,2020,3,25,3/25/2020,120.24,GreedyNAS-B,0,22.9,NA,2.97E+18,1.28E+06,5.20E+06,0,224
https://arxiv.org/abs/2003.13630,2020,3,30,3/30/2020,120.25,TResNet-XL,0,15.7,NA,6.58E+20,1.28E+06,7.70E+07,0,448
https://arxiv.org/abs/2003.13678,2020,3,30,3/30/2020,120.25,REGNETX-32GF,0,19.5,NA,1.15E+19,1.28E+06,3.92E+07,0,224
https://arxiv.org/abs/2004.08955,2020,4,19,4/19/2020,120.3,ResNeSt-101,0,17,NA,1.41E+20,1.28E+06,4.80E+07,0,224
